学校	がっこう	Noun:|1. school||Wikipedia definition:|2. School
電話	でんわ	Noun, Suru verb, No-adjective:|1. telephone call; phone call||Noun, No-adjective:|2. telephone (device); phone (Abbreviation)||Wikipedia definition:|3. Telephony
水	みず	Noun:|1. water (esp. cool, fresh water, e.g. drinking water) (み is generally used in compounds)|2. fluid (esp. in an animal tissue); liquid|3. flood; floodwaters|4. water offered to wrestlers just prior to a bout (Sumo term)|5. break granted to wrestlers engaged in a prolonged bout (Sumo term)||Wikipedia definition:|6. Water
病気	びょうき	Noun, No-adjective, Suru verb:|1. illness; disease; sickness||Wikipedia definition:|2. Disease
会社	かいしゃ	Noun:|1. company; corporation|2. workplace||Wikipedia definition:|3. Company
上げる	あげる	Ichidan verb, Transitive verb:|1. to raise; to elevate|2. to do up (one's hair)|3. to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.)|4. to land (a boat)|5. to deep-fry|6. to show someone (into a room)|7. to summon (for geishas, etc.) (Usually written using kana alone)|8. to send someone (away)|9. to enrol (one's child in school); to enroll|10. to increase (price, quality, status, etc.); to develop (talent, skill); to improve|11. to make (a loud sound); to raise (one's voice)|12. to earn (something desirable)|13. to praise|14. to give (an example, etc.); to cite (usu. 挙げる)|15. to summon up (all of one's energy, etc.) (usu. 挙げる)|16. to arrest|17. to nominate|18. to give (Polite (teineigo))|19. to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)|20. to bear (a child)|21. to conduct (a ceremony, esp. a wedding) (usu. 挙げる)||Ichidan verb, intransitive verb:|22. (of the tide) to come in||Ichidan verb, intransitive verb, Transitive verb:|23. to vomit||Auxiliary verb, Ichidan verb:|24. to do for (the sake of someone else) (Usually written using kana alone, Polite (teineigo)) (after the -te form of a verb)|25. to complete ... (after the -masu stem of a verb)|26. to humbly do ... (Humble (kenjougo)) (after the -masu stem of a humble verb to increase the level of humility)||Wikipedia definition:|27. Deep frying
結婚	けっこん	Noun, No-adjective, Suru verb:|1. marriage||Wikipedia definition:|2. Marriage
言葉	ことば	Noun:|1. language; dialect|2. word; words; phrase; term; expression; remark|3. speech; (manner of) speaking|4. learning to speak; language acquisition||Wikipedia definition:|5. Ci (poetry)
目	め	Noun:|1. eye; eyeball|2. eyesight; sight; vision|3. look; stare; gaze; glance|4. notice; attention; observation; eyes (of the world, public, etc.)|5. an experience|6. viewpoint|7. discrimination; discernment; judgement; eye (e.g. for quality)|8. appearance|9. spacing (between crossed strands of a net, mesh, etc.); opening; stitch; texture; weave|10. grain (of wood)|11. eye (of a storm, needle, etc.)|12. intersection (on a go board); square (on a chess board)|13. dot (on a dice); pip; rolled number|14. graduation; division (of a scale)|15. tooth (of a saw, comb, etc.)||Suffix:|16. ordinal number suffix|17. somewhat; -ish (Usually written using kana alone)|18. point (e.g. of change) (following -masu stem)||Wikipedia definition:|19. Eye
走る	はしる	Godan verb with ru ending, intransitive verb:|1. to run|2. to travel (movement of vehicles); to drive; to flow (e.g. energy)|3. to hurry to|4. to retreat (from battle); to take flight|5. to run away from home (esp. 奔る)|6. to elope|7. to tend heavily toward (esp. 趨る)|8. to flash; to streak; to shoot through (e.g. pain)||Wikipedia definition:|9. Running
名前	なまえ	Noun:|1. name; full name|2. given name; first name||Wikipedia definition:|3. Name
旅行	りょこう	Noun, Suru verb:|1. travel; trip; journey; excursion; tour||Wikipedia definition:|2. Travel
道	みち	Noun:|1. road; path; street; lane; passage|2. route; way|3. distance; journey|4. road (e.g. to victory); course|5. way (of living, proper conduct, etc.); moral principles|6. teachings (esp. Confucian or Buddhist); dogma|7. field (e.g. of medicine); subject; speciality|8. means; way; method||Wikipedia definition:|9. Diameter
飛行機	ひこうき	Noun:|1. aeroplane; airplane; aircraft||Wikipedia definition:|2. Fixed-wing aircraft
映画	えいが	Noun, No-adjective:|1. movie; film||Wikipedia definition:|2. Film
音楽	おんがく	Noun:|1. music||Wikipedia definition:|2. Music
木	き	Noun:|1. tree; shrub; bush|2. wood; timber||Wikipedia definition:|3. Tree
大学	だいがく	Noun:|1. university; college|2. former central university of Kyoto (established under the ritsuryo system for the training of government administrators) (Abbreviation)|3. the Great Learning (one of the Four Books)||Wikipedia definition:|4. University
時計	とけい	Noun:|1. watch; clock; timepiece||Wikipedia definition:|2. Clock
家族	かぞく	Noun, No-adjective:|1. family; members of a family||Wikipedia definition:|2. Family
花	はな	Noun:|1. flower; blossom; bloom; petal|2. cherry blossom|3. beauty|4. blooming (esp. of cherry blossoms)|5. ikebana|6. hanafuda (Abbreviation)|7. (the) best (usu. as 〜が花)||No-adjective:|8. glorious; lovely||Wikipedia definition:|9. Flower
猫	ねこ	Noun:|1. cat|2. shamisen|3. geisha|4. wheelbarrow (Abbreviation)|5. clay bed-warmer (Abbreviation)|6. bottom; submissive partner of a homosexual relationship (Usually written using kana alone, Colloquialism)||Wikipedia definition:|7. Cat
毎日	まいにち	Adverbial noun, Temporal noun:|1. every day||Wikipedia definition:|2. Every Single Day (band)
宿題	しゅくだい	Noun:|1. homework; assignment|2. pending issue; unresolved problem; open question||Wikipedia definition:|3. Homework
雪	ゆき	Noun:|1. snow||Wikipedia definition:|2. Snow
山	やま	Noun, Counter:|1. mountain; hill|2. mine (e.g. coal mine)|3. heap; pile||Noun:|4. crown (of a hat); thread (of a screw); tread (of a tire); protruding part of an object|5. climax; peak; critical point|6. guess; speculation|7. criminal case; crime (used by policemen, crime reporters, etc.)|8. mountain climbing; mountaineering|9. festival float (esp. one mounted with a decorative halberd)|10. wall; wall tile (Mahjong term)|11. temple; temple grounds (Archaism)||Noun - used as a prefix:|12. wild||Wikipedia definition:|13. Mountain
窓	まど	Noun:|1. window||Wikipedia definition:|2. Window
動物	どうぶつ	Noun:|1. animal||Wikipedia definition:|2. Animal
夜	よる	Adverbial noun, Temporal noun:|1. evening; night||Wikipedia definition:|2. Night
料理	りょうり	Noun, Suru verb:|1. cooking; cookery; cuisine|2. dealing with something; handling; administration; management (nuance of doing it easily)||Wikipedia definition:|3. Cuisine
夏	なつ	Adverbial noun, Temporal noun:|1. summer||Wikipedia definition:|2. Summer
新聞	しんぶん	Noun:|1. newspaper||Wikipedia definition:|2. Newspaper
公園	こうえん	Noun:|1. (public) park||Wikipedia definition:|2. Park
意味	いみ	Noun, Suru verb:|1. meaning; significance; sense||Wikipedia definition:|2. Meaning (linguistics)
自転車	じてんしゃ	Noun:|1. bicycle||Wikipedia definition:|2. Bicycle
足	あし	Noun:|1. foot (esp. 足)|2. leg (esp. 脚,肢)|3. gait|4. pace|5. bottom structural component (i.e. radical) of a kanji (usu. 脚)|6. means of transportation|7. money; coin (Archaism)||Wikipedia definition:|8. Foot
電車	でんしゃ	Noun:|1. train; electric train||Wikipedia definition:|2. Electric multiple unit
散歩	さんぽ	Noun, Suru verb:|1. walk; stroll||Wikipedia definition:|2. Strolling
声	こえ	Noun:|1. voice|2. singing (of a bird); chirping (of an insect); hoot|3. voice; opinion (as expressed in words); view; wish; attitude; will|4. sound|5. sense (of something's arrival); feeling (usu. as ～の声を聞く)|6. voice; voiced sound (linguistics terminology)||Wikipedia definition:|7. Human voice
朝	あさ	Adverbial noun, Temporal noun:|1. morning||Wikipedia definition:|2. Morning
歌	うた	Noun:|1. song (唄 is primarily used for shamisen songs)|2. classical Japanese poetry (esp. tanka)|3. modern poetry||Wikipedia definition:|4. Song
靴	くつ	Noun:|1. shoe; shoes; boots; footwear; footgear||Wikipedia definition:|2. Shoe
箱	はこ	Noun:|1. box; case; chest; package; pack; crate|2. car (of a train, etc.)|3. shamisen case; shamisen|4. public building; community building (Colloquialism) (often written as ハコ)|5. man who carries a geisha's shamisen (Archaism)|6. receptacle for human waste; feces (faeces) (Archaism)||Suffix, Counter:|7. counter for boxes (or boxed objects)||Wikipedia definition:|8. Box
机	つくえ	Noun:|1. desk||Wikipedia definition:|2. Desk
帽子	ぼうし	Noun:|1. hat; cap||Wikipedia definition:|2. Headgear
海	うみ	Noun:|1. sea; ocean; waters||Wikipedia definition:|2. Sea
授業	じゅぎょう	Noun, Suru verb:|1. lesson; class work; teaching; instruction||Wikipedia definition:|2. Lesson
銀行	ぎんこう	Noun, No-adjective:|1. bank||Wikipedia definition:|2. Bank
写真	しゃしん	Noun:|1. photograph; photo; picture; snapshot; snap|2. movie||Wikipedia definition:|3. Photography
冬	ふゆ	Adverbial noun, Temporal noun:|1. winter||Wikipedia definition:|2. Winter
村	むら	Noun:|1. village||Wikipedia definition:|2. Village
傘	かさ	Noun:|1. umbrella; parasol|2. something shaped like an umbrella or a conical hat; shade (of a lamp); mushroom cap; pileus||Wikipedia definition:|3. Umbrella
口	くち	Noun:|1. mouth|2. opening; hole; gap; orifice|3. mouth (of a bottle); spout; nozzle; mouthpiece|4. gate; door; entrance; exit|5. speaking; speech; talk (i.e. gossip)|6. taste; palate|7. mouth (to feed)|8. opening (i.e. vacancy); available position|9. invitation; summons|10. kind; sort; type|11. opening (i.e. beginning)||Suffix, Counter:|12. counter for mouthfuls, shares (of money), and swords||Wikipedia definition:|13. Mouth
橋	はし	Noun:|1. bridge||Wikipedia definition:|2. Bridge
病院	びょういん	Noun, No-adjective:|1. hospital||Wikipedia definition:|2. Hospital
図書館	としょかん	Noun:|1. library (also written 圕)||Wikipedia definition:|2. Library
春	はる	Adverbial noun, Temporal noun:|1. spring; springtime|2. New Year|3. prime (of one's life, etc.)|4. adolescence; puberty|5. sexuality||Wikipedia definition:|6. Spring (season)
買い物	かいもの	Noun:|1. shopping; purchased goods (買いもん is col.)||Wikipedia definition:|2. Shopping
椅子	いす	Noun:|1. chair; stool|2. post; office; position||Wikipedia definition:|3. Chair
自動車	じどうしゃ	Noun:|1. automobile||Wikipedia definition:|2. Automobile
色	いろ	Noun:|1. colour; color; hue; tint; tinge; shade|2. complexion; skin colour; skin color|3. look (on one's face); expression|4. appearance; air; feeling|5. personality; character|6. tone (of one's voice, etc.); tune; sound; ring|7. love; lust; sensuality; love affair|8. lover; paramour|9. beauty; sexiness; physical appeal|10. kind; type; variety (also written 種)||Wikipedia definition:|11. Color
卵	たまご	Noun:|1. eggs; egg; spawn; roe|2. hen egg|3. (an expert) in the making|4. beginning; origin; infancy||Wikipedia definition:|5. Egg (biology)
肉	にく	Noun:|1. flesh|2. meat|3. the physical body (as opposed to the spirit)|4. thickness|5. ink pad||Wikipedia definition:|6. Flesh
風邪	かぜ	Noun:|1. common cold; cold; influenza; flu; ague||Wikipedia definition:|2. Common cold
掃除	そうじ	Noun, Suru verb:|1. cleaning; sweeping; dusting; scrubbing||Wikipedia definition:|2. Cleanliness
紙	かみ	Noun:|1. paper||Wikipedia definition:|2. Paper
鍵	かぎ	Noun:|1. key|2. lock||Wikipedia definition:|3. Key (lock)
雑誌	ざっし	Noun:|1. journal; magazine; periodical||Wikipedia definition:|2. Magazine
切符	きっぷ	Noun:|1. ticket||Wikipedia definition:|2. Ticket
外国人	がいこくじん	Noun:|1. foreigner; foreign citizen; foreign national; alien; non-Japanese||Wikipedia definition:|2. Alien (law)
財布	さいふ	Noun:|1. purse; handbag; wallet||Wikipedia definition:|2. Wallet
鉛筆	えんぴつ	Noun:|1. pencil||Wikipedia definition:|2. Pencil
大人	おとな	Noun, No-adjective:|1. adult||Wikipedia definition:|2. Adult
塩	しお	Noun:|1. salt (i.e. sodium chloride); common salt; table salt (esp. しお)|2. salt (e.g. sodium chloride, calcium sulfate, etc.) (Chemistry term) (esp. えん)|3. hardship; toil; trouble|4. saltiness (Food term)||Wikipedia definition:|5. Salt
夏休み	なつやすみ	Noun:|1. summer vacation; summer holiday||Wikipedia definition:|2. Summer vacation
砂糖	さとう	Noun:|1. sugar||Wikipedia definition:|2. Sugar
郵便局	ゆうびんきょく	Noun:|1. post office||Wikipedia definition:|2. Post office
池	いけ	Noun:|1. pond||Wikipedia definition:|2. Pond
教室	きょうしつ	Noun:|1. classroom|2. department; laboratory|3. single-room school; small school||Wikipedia definition:|4. Classroom
耳	みみ	Noun:|1. ear|2. hearing|3. edge; crust|4. selvedge (non-fray machined edge of fabrics); selvage||Wikipedia definition:|5. Ear
切手	きって	Noun:|1. stamp (postage); merchandise certificate||Wikipedia definition:|2. Postage stamp
台所	だいどころ	Noun, No-adjective:|1. kitchen||Noun:|2. financial situation||Wikipedia definition:|3. Kitchen
電気	でんき	Noun:|1. electricity|2. (electric) light||Wikipedia definition:|3. Electricity
歯	は	Noun:|1. tooth||Wikipedia definition:|2. Human tooth
作文	さくぶん	Noun, Suru verb:|1. writing (an essay, prose, etc.); composition|2. formal writing with little real meaning||Wikipedia definition:|3. Composition (language)
紅茶	こうちゃ	Noun:|1. black tea||Wikipedia definition:|2. Black tea
家庭	かてい	Noun, No-adjective:|1. home; family; household||Wikipedia definition:|2. Home
野菜	やさい	Noun, No-adjective:|1. vegetable||Wikipedia definition:|2. Vegetable
風呂	ふろ	Noun:|1. bath; bathtub|2. bathroom; bathhouse|3. room for drying lacquerware|4. base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)||Wikipedia definition:|5. Bathtub
玄関	げんかん	Noun:|1. entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room||Wikipedia definition:|2. Genkan
地下鉄	ちかてつ	Noun:|1. underground train; subway||Wikipedia definition:|2. Rapid transit
鼻	はな	Noun:|1. nose||Wikipedia definition:|2. Nose
緑	みどり	No-adjective, Noun:|1. green||Noun:|2. greenery (esp. fresh verdure)||Wikipedia definition:|3. Green
昼	ひる	Noun:|1. noon; midday|2. daytime|3. lunch||Wikipedia definition:|4. Daylight
西	にし	Noun:|1. west||Wikipedia definition:|2. West
白	しろ	Noun:|1. white|2. innocence; innocent person|3. blank space|4. white go stone|5. white dragon tile (Mahjong term)|6. skewered grilled pig intestine (Food term)||Wikipedia definition:|7. White
洗濯	せんたく	Noun, Suru verb:|1. washing; laundry|2. relaxing; taking a break (oft. as 命の洗濯)||Wikipedia definition:|3. Laundry
冷蔵庫	れいぞうこ	Noun:|1. refrigerator||Wikipedia definition:|2. Refrigerator
火曜日	かようび	Adverbial noun, Temporal noun:|1. Tuesday||Wikipedia definition:|2. Tuesday
南	みなみ	Noun:|1. south||Wikipedia definition:|2. South
北	きた	Noun:|1. north|2. the North; northern territories|3. North Korea (Abbreviation)|4. north wind (Archaism)||Wikipedia definition:|5. North
茶色	ちゃいろ	Noun, No-adjective:|1. light brown; tawny||Wikipedia definition:|2. Brown
喫茶店	きっさてん	Noun:|1. coffee shop; tearoom; coffee lounge; coffeehouse; cafe||Wikipedia definition:|2. Kissaten
黒	くろ	Noun:|1. black|2. black go stone|3. guilt; guilty person||Wikipedia definition:|4. Black
青	あお	Noun, No-adjective:|1. blue; azure|2. green (mostly in compound words and in ref. to fruits, plants and traffic lights)||Noun:|3. green light (traffic) (Abbreviation)|4. black (horse coat color)||Prefix:|5. immature; unripe; young||Wikipedia definition:|6. Blue
靴下	くつした	Noun:|1. socks; sock; stockings; stocking||Wikipedia definition:|2. Sock
封筒	ふうとう	Noun:|1. envelope||Wikipedia definition:|2. Envelope
辺	へん	Noun:|1. area; vicinity; region|2. side; edge (Mathematics)|3. circumstances||Wikipedia definition:|4. Edge (geometry)
黄色	きいろ	Na-adjective, Noun:|1. yellow; amber||Wikipedia definition:|2. Yellow
映画館	えいがかん	Noun:|1. movie theatre; movie theater; cinema||Wikipedia definition:|2. Movie theater
箸	はし	Noun:|1. chopsticks||Wikipedia definition:|2. Chopsticks
食堂	しょくどう	Noun:|1. dining room; dining hall; cafeteria; messroom|2. restaurant; eatery; snack bar; diner||Wikipedia definition:|3. Dining room
牛肉	ぎゅうにく	Noun:|1. beef||Wikipedia definition:|2. Beef
交差点	こうさてん	Noun:|1. crossing; intersection||Wikipedia definition:|2. Intersection (road)
茶碗	ちゃわん	Noun:|1. rice bowl; tea cup; teacup||Wikipedia definition:|2. Chawan
漢字	かんじ	Noun:|1. Chinese characters; kanji||Wikipedia definition:|2. Chinese characters
曇り	くもり	Noun:|1. cloudiness; cloudy weather|2. fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; shadow; dimness|3. gloom; dejection||Wikipedia definition:|4. Overcast
背広	せびろ	Noun:|1. business suit (perhaps from "civil clothes" or "Savile Row")||Wikipedia definition:|2. Suit (clothing)
万年筆	まんねんひつ	Noun:|1. fountain pen||Wikipedia definition:|2. Fountain pen
灰皿	はいざら	Noun:|1. ashtray||Wikipedia definition:|2. Ashtray
大使館	たいしかん	Noun:|1. embassy||Wikipedia definition:|2. Diplomatic mission
豚肉	ぶたにく	Noun:|1. pork||Wikipedia definition:|2. Pork
交番	こうばん	Noun, Suru verb:|1. police box; small neighborhood police station||Noun, Noun or verb acting prenominally:|2. alternation; alternating (e.g. current)||Wikipedia definition:|3. Kōban
飲む	のむ	Godan verb with mu ending, Transitive verb:|1. to drink; to gulp; to swallow; to take (medicine) (呑む is often used metaphorically; 服む is often used for medicine)|2. to smoke (tobacco) (also written 喫む)|3. to engulf; to overwhelm|4. to keep down; to suppress|5. to accept (e.g. demand, condition)|6. to make light of; to conceal||Wikipedia definition:|7. Drinking
頭	あたま	Noun:|1. head|2. hair (on one's head)|3. mind; brains; intellect|4. leader; chief; boss; captain|5. top; tip|6. beginning; start|7. head; person|8. top structural component of a kanji|9. pair (Mahjong term, Colloquialism)||Wikipedia definition:|10. Neck
日曜日	にちようび	Adverbial noun, Temporal noun:|1. Sunday||Wikipedia definition:|2. Sunday
誕生日	たんじょうび	Noun:|1. birthday||Wikipedia definition:|2. Birthday
かわいい	I-adjective:|1. cute; adorable; charming; lovely; pretty (Usually written using kana alone)|2. dear; precious; darling; pet (Usually written using kana alone)|3. innocent; childlike; childish; lovable (Usually written using kana alone)|4. dainty; cute little; tiny (Usually written using kana alone)||Wikipedia definition:|5. Kawaii
かばん	Noun:|1. bag; satchel; briefcase; basket (Usually written using kana alone)||Wikipedia definition:|2. Paper bag
土曜日	どようび	Adverbial noun, Temporal noun:|1. Saturday||Wikipedia definition:|2. Saturday
月曜日	げつようび	Adverbial noun, Temporal noun:|1. Monday||Wikipedia definition:|2. Monday
金曜日	きんようび	Adverbial noun, Temporal noun:|1. Friday||Wikipedia definition:|2. Friday
花瓶	かびん	Noun:|1. (flower) vase||Wikipedia definition:|2. Vase
木曜日	もくようび	Adverbial noun, Temporal noun:|1. Thursday||Wikipedia definition:|2. Thursday
本棚	ほんだな	Noun:|1. bookshelves; bookshelf; bookcase||Wikipedia definition:|2. Bookcase
石鹸	せっけん	Noun:|1. soap||Wikipedia definition:|2. Soap
水曜日	すいようび	Adverbial noun, Temporal noun:|1. Wednesday||Wikipedia definition:|2. Wednesday
飴	あめ	Noun:|1. (hard) candy; toffee (Food term)|2. rice-sugar; sugar made from the starch of rice, potatoes, etc. (Food term)|3. amber; yellowish-brown (Abbreviation)||Wikipedia definition:|4. Yeot
八百屋	やおや	Noun:|1. greengrocer||Wikipedia definition:|2. Greengrocer
なる	Godan verb with ru ending, intransitive verb:|1. to become; to get; to grow; to be; to reach; to attain (Usually written using kana alone)|2. to result in; to prove to be|3. to consist of; to be composed of|4. to succeed; to be complete|5. to change into; to be exchanged for|6. to play a role|7. to be promoted (Shogi term)||Godan verb with ru ending:|8. to do ... (Honorific or respectful (sonkeigo)) (as お+masu-stem+になる, ご+noun+になる, etc.)
より	Particle:|1. than|2. from; out of; since; at; on|3. except; but; other than||Adverb:|4. more||Wikipedia definition:|5. Yori (kana)
一番	いちばん	Noun, No-adjective:|1. number one; first; first place||Adverb:|2. best; most||Noun:|3. game; round; bout||Adverb:|4. as a test; as an experiment; by way of experiment; by way of trial; tentatively||Noun:|5. song (e.g. in noh); piece
私	わたし	Pronoun:|1. I; me||Noun, No-adjective:|2. private affairs; personal matter; secrecy|3. selfishness
外	そと	Noun:|1. outside; exterior|2. open air|3. other place
姉	あね	Noun:|1. older sister; elder sister (Humble (kenjougo))
百	ひゃく	Numeric:|1. 100; hundred (陌 and 佰 are used in legal documents)
ある	Godan verb with ru ending (irregular verb), intransitive verb:|1. to be; to exist; to live (Usually written using kana alone) (usu. of inanimate objects)|2. to have (Usually written using kana alone)|3. to be located (Usually written using kana alone)|4. to be equipped with (Usually written using kana alone)|5. to happen; to come about (Usually written using kana alone)
その	Pre-noun adjectival:|1. that (something or someone distant from the speaker, close to the listener; actions of the listener, or ideas expressed or understood by the listener); the (Usually written using kana alone)|2. um...; er...; uh...
言う	いう	Godan verb with u ending:|1. to say; to utter; to declare|2. to name; to call|3. to go (e.g. "the alarm went ping"); to make a noise
できる	Ichidan verb, intransitive verb:|1. to be able (in a position) to do; to be up to the task (Usually written using kana alone)|2. to be ready; to be completed (Usually written using kana alone)|3. to be made; to be built (Usually written using kana alone)|4. to be good at; to be permitted (to do) (Usually written using kana alone)|5. to become intimate; to take up (with somebody) (Usually written using kana alone)|6. to grow; to be raised (Usually written using kana alone)|7. to become pregnant (Usually written using kana alone)
よい	I-adjective:|1. good; excellent; fine; nice; pleasant; agreeable (Usually written using kana alone) (also いい (all senses))|2. sufficient (can be used to turn down an offer); ready; prepared|3. profitable (e.g. deal, business offer, etc.); beneficial|4. OK
ください	Expression:|1. please give me (Usually written using kana alone, Honorific or respectful (sonkeigo))|2. please do for me (Usually written using kana alone, Honorific or respectful (sonkeigo)) (after te-form of a verb or a noun prefixed with o- or go-)
見る	みる	Ichidan verb, Transitive verb:|1. to see; to look; to watch; to view; to observe|2. to look over; to look on; to assess; to examine; to judge|3. to look after; to keep an eye on; to take care of (Usually written using kana alone)|4. to view (e.g. flowers, movie) (usu. 観る)||Auxiliary verb, Ichidan verb:|5. to try; to try out; to test (Usually written using kana alone) (usu. after a conative verb as 〜てみる)|6. to see that...; to find that... (Usually written using kana alone) (usu. after an aconative verb as 〜てみると, 〜てみれば, 〜てみたら, etc.)
この	Pre-noun adjectival:|1. this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker) (Usually written using kana alone)
自分	じぶん	Pronoun:|1. myself; yourself; oneself; himself; herself|2. I; me|3. you (Kansai dialect)
知る	しる	Godan verb with ru ending, Transitive verb:|1. to be aware of; to know; to be conscious of; to cognize; to cognise|2. to notice; to feel|3. to understand; to comprehend; to grasp|4. to remember; to be acquainted with (a procedure)|5. to experience; to go through; to learn|6. to be acquainted with (a person); to get to know|7. to concern
持つ	もつ	Godan verb with tsu ending:|1. to hold (in one's hand); to take; to carry|2. to possess; to have; to own|3. to maintain; to keep|4. to last; to be durable; to keep; to survive|5. to take charge of; to be in charge of
何	なに	Pronoun:|1. what||Prefix:|2. how many (followed by a counter)|3. large number of; many (followed by (optional number), counter and も)||Noun:|4. you-know-what; that||Expression:|5. whatsit; what's the expression; what do you call them|6. what? (expressing surprise)|7. hey! (expressing anger or irritability)
車	くるま	Noun:|1. car; automobile; vehicle|2. wheel
話す	はなす	Godan verb with su ending, Transitive verb:|1. to talk; to speak; to converse; to chat|2. to tell; to explain; to narrate; to mention; to describe; to discuss|3. to speak (a language)
今	いま	Adverbial noun, Noun:|1. now; the present time; just now; soon; immediately; (one) more
今日	きょう	Temporal noun:|1. today; this day|2. these days; recently; nowadays
買う	かう	Godan verb with u ending, Transitive verb:|1. to buy; to purchase (in western Japan, 買う conjugates euphonically as こうた, こうて, etc.)|2. to value; to have a high opinion|3. to stir; to provoke; to draw upon oneself
読む	よむ	Godan verb with mu ending, Transitive verb:|1. to read|2. to count (now mostly used in idioms)|3. to guess; to predict; to read (someone's thoughts); to see (e.g. into someone's heart); to divine
みんな	Adverb, Noun:|1. all; everyone; everybody (Usually written using kana alone)|2. everything (Usually written using kana alone)
新しい	あたらしい	I-adjective:|1. new; novel; fresh; recent; latest; up-to-date; modern
話	はなし	Noun:|1. talk; speech; chat; story; conversation|2. discussions; negotiation; argument
明日	あした	Temporal noun:|1. tomorrow|2. near future
昨日	きのう	Adverbial noun, Temporal noun:|1. yesterday
出る	でる	Ichidan verb, intransitive verb:|1. to leave; to exit; to go out; to come out; to get out|2. to leave (on a journey); to depart; to start out; to set out|3. to move forward|4. to come to; to get to; to lead to; to reach|5. to appear; to come out; to emerge; to surface; to come forth; to turn up; to be found; to be detected; to be discovered; to be exposed; to show; to be exhibited; to be on display|6. to appear (in print); to be published; to be announced; to be issued; to be listed; to come out|7. to attend; to participate; to take part; to enter (an event); to play in; to perform|8. to be stated; to be expressed; to come up; to be brought up; to be raised|9. to sell|10. to exceed; to go over|11. to stick out; to protrude|12. to break out; to occur; to start; to originate|13. to be produced|14. to come from; to be derived from|15. to be given; to get; to receive; to be offered; to be provided; to be presented; to be submitted; to be handed in; to be turned in; to be paid|16. to answer (phone, door, etc.); to get|17. to assume (an attitude); to act; to behave|18. to pick up (speed, etc.); to gain|19. to flow (e.g. tears); to run; to bleed|20. to graduate
勉強	べんきょう	Noun, Suru verb:|1. study|2. diligence|3. discount; reduction
取る	とる	Godan verb with ru ending, Transitive verb:|1. to take; to pick up; to harvest; to earn; to win; to choose|2. to steal|3. to eat; to have (a meal)|4. to remove (one's glasses, etc.) (also written as 脱る)|5. to compete (in sumo, cards, etc.); to play
誰	だれ	Pronoun:|1. who
お金	おかね	Noun:|1. money (Polite (teineigo))
